id,brand_name,model,screen_size,price,release_year,operating_system,battery_capacity,ram,storage,camera_mp,front_camera_mp,refresh_rate,weight,thickness,body_material,chipset,gpu,dual_sim,network_support,bluetooth_version,wifi_version,usb_type,fast_charging,fingerprint_sensor
39,Realme,Narzo 50,5.38,9736,2018,Android,3825,12,128,64,16,144,193,7.4,Metal,Apple A16,Mali-G710,No,5G,5.1,WiFi 6,Type-C,120,No
40,Vivo,Vivo V25,6.12,18919,2021,Android,3000,6,128,48,8,144,238,6.7,Glass,Apple A16,Mali-G710,No,4G,5.2,WiFi 5,Type-C,67,Yes
41,Apple,iPhone 15,5.96,126858,2016,iOS,5851,4,256,108,32,120,199,7.3,Metal,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 6,Type-C,18,Yes
42,Apple,iPhone 11,6.7,90179,2015,iOS,5671,8,128,48,32,90,226,9.1,Metal,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.2,WiFi 5,Type-C,120,No
43,OnePlus,Nord CE 3,5.8,29685,2022,Android,3784,8,64,108,8,144,177,7.0,Metal,Apple A16,Adreno 740,No,4G,5.1,WiFi 5,Type-C,67,No
44,Xiaomi,Mi 11,5.53,6960,2015,Android,3505,6,128,12,8,60,208,7.5,Glass,Apple A16,Mali-G710,No,5G,5.1,WiFi 6E,Type-C,67,No
45,Samsung,Galaxy S23,6.35,66351,2015,Android,5954,12,512,48,16,144,186,8.1,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.0,WiFi 5,Type-C,120,Yes
46,Vivo,Vivo X80,5.82,29878,2025,Android,3274,4,512,48,8,120,201,9.4,Glass,Apple A16,Mali-G710,No,4G,5.2,WiFi 6,Type-C,67,No
47,OnePlus,OnePlus 11,6.12,54043,2017,Android,3214,8,512,108,32,144,187,6.7,Plastic,Dimensity 9000,Mali-G710,Yes,4G,5.2,WiFi 5,Type-C,18,Yes
48,OnePlus,OnePlus 9,6.44,35425,2015,Android,5418,6,128,12,32,90,176,7.0,Glass,Snapdragon 8 Gen 2,Apple GPU,No,4G,5.2,WiFi 6,Type-C,120,Yes
49,Motorola,Moto Edge 40,5.62,6142,2022,Android,5307,6,64,64,8,120,199,7.7,Plastic,Dimensity 9000,Mali-G710,No,4G,5.1,WiFi 5,Type-C,67,No
50,Xiaomi,Mi 11,5.15,59293,2015,Android,4439,8,64,64,8,60,204,6.7,Plastic,Dimensity 9000,Apple GPU,No,4G,5.1,WiFi 6,Type-C,18,No
51,Google,Pixel 9,5.4,16015,2023,Android,5859,8,512,108,16,60,217,8.8,Plastic,Apple A16,Adreno 740,No,5G,5.0,WiFi 6,Type-C,67,Yes
52,Samsung,Galaxy A15,6.29,64816,2019,Android,4982,6,128,48,8,120,154,8.6,Glass,Dimensity 9000,Adreno 740,No,4G,5.0,WiFi 5,Type-C,18,No
53,Realme,Narzo 60x,5.99,41334,2023,Android,5155,6,64,12,8,60,169,8.6,Plastic,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.2,WiFi 6E,Type-C,18,No
54,Vivo,Vivo Y75,6.2,48932,2021,Android,5595,8,64,108,16,120,226,8.7,Glass,Dimensity 9000,Adreno 740,No,4G,5.2,WiFi 5,Type-C,33,No
55,Motorola,Moto G84,6.8,25593,2023,Android,5138,4,256,64,8,144,225,6.9,Glass,Apple A16,Adreno 740,No,5G,5.0,WiFi 6E,Type-C,120,No
56,OnePlus,Nord CE 2,6.47,19386,2017,Android,4104,12,128,12,8,60,203,6.7,Glass,Apple A16,Mali-G710,Yes,4G,5.1,WiFi 5,Type-C,33,No
57,Oppo,Oppo Reno 8,7.15,48302,2025,Android,4891,8,64,64,32,144,207,9.2,Plastic,Dimensity 9000,Mali-G710,Yes,5G,5.0,WiFi 6,Type-C,18,No
58,OnePlus,Nord CE 3,6.61,50225,2017,Android,3783,4,256,64,8,60,213,7.7,Metal,Apple A16,Mali-G710,No,5G,5.2,WiFi 5,Type-C,67,No
59,Motorola,Moto G73,6.01,21373,2016,Android,5999,8,256,12,8,120,157,6.8,Plastic,Dimensity 9000,Adreno 740,No,4G,5.2,WiFi 6E,Type-C,33,Yes
60,Apple,iPhone 15,7.05,132564,2019,iOS,5131,12,64,108,8,60,226,9.5,Plastic,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 6E,Type-C,67,Yes
61,Google,Pixel 6,5.04,47865,2023,Android,4795,6,256,12,8,60,152,8.4,Plastic,Apple A16,Adreno 740,No,4G,5.2,WiFi 6E,Type-C,33,No
62,Xiaomi,Redmi Note 13,6.56,42371,2025,Android,3478,8,128,12,16,90,212,8.6,Metal,Snapdragon 8 Gen 2,Apple GPU,No,4G,5.1,WiFi 6,Type-C,67,No
63,Xiaomi,Redmi Note 12,6.52,56166,2025,Android,3619,6,512,48,16,144,220,9.2,Metal,Apple A16,Adreno 740,Yes,5G,5.2,WiFi 5,Type-C,18,No
64,Nokia,Nokia G22,6.22,48444,2020,Android,4148,12,256,64,16,90,184,9.3,Glass,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.1,WiFi 6,Type-C,120,No
65,Motorola,Moto G84,5.35,43876,2024,Android,3928,4,128,12,8,144,179,6.5,Metal,Dimensity 9000,Adreno 740,No,5G,5.1,WiFi 6E,Type-C,18,No
66,Nokia,Nokia G22,6.45,7872,2016,Android,4477,8,128,48,16,90,199,6.9,Metal,Apple A16,Adreno 740,No,4G,5.1,WiFi 5,Type-C,120,No
67,Samsung,Galaxy Note 20,5.95,105753,2019,Android,5875,4,512,12,8,144,178,8.6,Glass,Apple A16,Mali-G710,No,4G,5.0,WiFi 6E,Type-C,18,No
68,Apple,iPhone 12,6.95,110070,2024,iOS,5101,8,512,64,16,90,237,8.4,Glass,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.0,WiFi 5,Type-C,120,No
69,Nokia,Nokia X30,5.74,55098,2025,Android,5406,6,512,48,8,120,174,7.8,Glass,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.0,WiFi 6,Type-C,120,No
70,Realme,Realme GT Neo 3,6.48,16895,2025,Android,4859,4,512,12,8,120,228,7.1,Glass,Dimensity 9000,Mali-G710,Yes,5G,5.2,WiFi 6,Type-C,33,No
71,Apple,iPhone 12,5.55,82399,2024,iOS,5095,8,512,48,8,120,226,6.6,Plastic,Dimensity 9000,Apple GPU,No,5G,5.0,WiFi 6,Type-C,18,No
72,Nokia,Nokia G21,5.84,27740,2022,Android,5838,4,64,12,32,90,182,9.4,Glass,Dimensity 9000,Apple GPU,No,4G,5.0,WiFi 6E,Type-C,67,Yes
73,Samsung,Galaxy S23,5.71,37171,2019,Android,5785,6,512,48,32,120,216,7.4,Plastic,Dimensity 9000,Adreno 740,No,4G,5.2,WiFi 5,Type-C,18,No
74,Motorola,Moto Edge 50,5.87,45439,2015,Android,4110,4,256,64,16,90,182,8.2,Metal,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 5,Type-C,67,Yes
75,Oppo,Oppo Reno 8,5.66,52225,2018,Android,4906,12,128,64,8,90,180,7.9,Plastic,Dimensity 9000,Adreno 740,Yes,5G,5.2,WiFi 5,Type-C,120,No
76,OnePlus,OnePlus 9,5.24,47816,2023,Android,3083,8,256,64,32,144,184,7.8,Plastic,Dimensity 9000,Adreno 740,No,5G,5.1,WiFi 5,Type-C,18,Yes
77,Google,Pixel 6,5.41,48881,2024,Android,4301,6,64,48,8,60,240,9.4,Glass,Apple A16,Apple GPU,No,5G,5.1,WiFi 5,Type-C,33,No
78,Vivo,Vivo V27,5.16,36377,2022,Android,5916,12,512,64,8,144,209,9.3,Plastic,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.0,WiFi 5,Type-C,67,No
79,Oppo,Oppo Reno 8,6.06,52470,2015,Android,5522,12,256,48,8,60,197,9.4,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.0,WiFi 5,Type-C,33,No
80,Motorola,Moto Edge 50,5.92,28465,2022,Android,4121,6,128,64,8,120,228,7.0,Plastic,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.1,WiFi 6E,Type-C,120,No
81,OnePlus,OnePlus 10,5.65,14896,2024,Android,5039,12,512,48,8,60,150,6.8,Glass,Dimensity 9000,Apple GPU,Yes,4G,5.2,WiFi 6E,Type-C,67,No
82,Vivo,Vivo Y75,6.09,47998,2020,Android,5448,12,64,108,16,144,179,7.0,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.2,WiFi 6,Type-C,18,Yes
83,Oppo,Oppo F21,5.97,45012,2024,Android,3556,8,256,48,32,90,210,8.1,Plastic,Apple A16,Adreno 740,Yes,5G,5.1,WiFi 6E,Type-C,120,Yes
84,Motorola,Moto G84,7.14,20256,2020,Android,5529,8,256,108,16,144,170,9.1,Plastic,Dimensity 9000,Adreno 740,Yes,5G,5.1,WiFi 5,Type-C,120,No
85,Nokia,Nokia G21,5.42,20789,2021,Android,3833,8,256,108,8,60,214,9.3,Plastic,Dimensity 9000,Apple GPU,No,4G,5.1,WiFi 6,Type-C,120,No
86,Google,Pixel 7,6.79,7851,2019,Android,4221,6,256,108,8,120,173,7.4,Glass,Apple A16,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,33,No
87,Realme,Narzo 60x,5.77,29341,2021,Android,3602,6,128,48,16,60,190,9.3,Glass,Apple A16,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,33,No
88,Oppo,Oppo Reno 9,5.81,14817,2019,Android,3557,6,64,48,32,60,190,8.6,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 6E,Type-C,33,Yes
89,Samsung,Galaxy A15,5.3,62248,2022,Android,3380,4,256,12,8,60,151,9.1,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.0,WiFi 6,Type-C,120,No
90,Oppo,Oppo Reno 8,6.14,23673,2022,Android,5526,8,64,12,32,90,183,7.9,Plastic,Dimensity 9000,Mali-G710,No,4G,5.1,WiFi 6E,Type-C,33,No
91,Google,Pixel 8,5.49,42758,2020,Android,3635,4,512,48,16,120,184,7.0,Glass,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.2,WiFi 6E,Type-C,67,Yes
92,Nokia,Nokia G21,6.19,50517,2024,Android,4275,6,256,12,16,144,150,9.0,Glass,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.1,WiFi 6,Type-C,33,No
93,Realme,Narzo 60x,5.5,39259,2015,Android,4511,8,128,48,32,144,233,7.6,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.1,WiFi 6,Type-C,120,No
94,Samsung,Galaxy S21,5.49,33348,2025,Android,5151,4,512,48,32,120,159,8.6,Plastic,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 6E,Type-C,18,Yes
95,Google,Pixel 7,5.78,22172,2022,Android,5114,6,512,108,16,120,229,8.9,Plastic,Dimensity 9000,Mali-G710,No,5G,5.0,WiFi 6,Type-C,18,Yes
96,Xiaomi,Redmi Note 12,7.17,45516,2019,Android,3782,6,256,108,16,120,181,6.8,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.2,WiFi 6,Type-C,33,Yes
97,OnePlus,OnePlus 11,5.63,35095,2015,Android,5564,8,512,64,8,60,196,8.8,Metal,Apple A16,Mali-G710,No,5G,5.0,WiFi 6E,Type-C,67,Yes
98,Nokia,Nokia G22,5.09,58432,2025,Android,3124,6,512,64,16,120,214,8.0,Glass,Apple A16,Apple GPU,No,4G,5.2,WiFi 6,Type-C,18,No
99,Motorola,Moto Edge 50,5.22,33947,2015,Android,5807,4,64,48,8,144,239,8.6,Glass,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 5,Type-C,18,Yes
100,Oppo,Oppo Find X5,7.06,28075,2025,Android,3000,6,256,108,32,144,174,7.4,Metal,Dimensity 9000,Mali-G710,Yes,4G,5.1,WiFi 6,Type-C,33,Yes
101,Motorola,Moto G84,6.01,43093,2016,Android,3174,12,128,108,16,144,231,7.9,Metal,Dimensity 9000,Adreno 740,No,5G,5.0,WiFi 6E,Type-C,67,No
102,Realme,Realme 11 Pro,6.0,22340,2017,Android,5940,4,128,12,16,144,207,7.6,Glass,Dimensity 9000,Apple GPU,No,5G,5.0,WiFi 5,Type-C,33,No
103,Realme,Realme 11 Pro,6.42,57979,2025,Android,5808,12,256,48,32,120,237,7.4,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.2,WiFi 6,Type-C,120,Yes
104,Motorola,Moto G84,6.63,9820,2018,Android,4419,12,128,64,16,60,174,7.8,Metal,Dimensity 9000,Mali-G710,Yes,4G,5.1,WiFi 6E,Type-C,33,No
105,Vivo,Vivo V27,7.19,39414,2021,Android,5912,8,128,108,8,60,194,9.4,Metal,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 6E,Type-C,120,No
106,Nokia,Nokia X30,6.54,31288,2016,Android,3521,8,256,64,32,60,196,8.3,Plastic,Dimensity 9000,Adreno 740,No,5G,5.2,WiFi 5,Type-C,33,Yes
107,Samsung,Galaxy S22,5.88,110163,2021,Android,4102,8,128,64,8,120,222,9.0,Metal,Apple A16,Apple GPU,No,5G,5.0,WiFi 6,Type-C,120,Yes
108,Apple,iPhone 13,6.57,97867,2016,iOS,5243,4,128,64,32,144,219,8.4,Glass,Apple A16,Mali-G710,Yes,5G,5.2,WiFi 5,Type-C,120,Yes
109,Oppo,Oppo Find X5,5.42,30773,2024,Android,3979,12,128,108,32,120,214,8.4,Glass,Apple A16,Mali-G710,Yes,5G,5.2,WiFi 6E,Type-C,18,Yes
110,Apple,iPhone 11,6.22,83024,2019,iOS,5822,6,256,48,8,144,169,8.1,Metal,Dimensity 9000,Apple GPU,Yes,5G,5.1,WiFi 5,Type-C,67,Yes
111,Motorola,Moto G84,6.8,29144,2022,Android,3885,12,128,108,8,90,185,6.9,Glass,Apple A16,Adreno 740,No,4G,5.2,WiFi 5,Type-C,33,Yes
112,Oppo,Oppo Find X5,6.13,23777,2017,Android,5137,4,512,108,8,120,236,9.0,Glass,Apple A16,Mali-G710,Yes,4G,5.0,WiFi 6,Type-C,33,No
113,Nokia,Nokia G21,5.16,44103,2020,Android,5270,8,512,48,32,90,162,8.6,Metal,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.2,WiFi 6E,Type-C,120,No
114,Xiaomi,Redmi Note 11,6.62,33724,2023,Android,3452,6,64,48,8,120,158,8.5,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.1,WiFi 6,Type-C,18,No
115,Nokia,Nokia G21,5.81,13680,2018,Android,5479,8,512,48,32,120,229,7.4,Plastic,Apple A16,Adreno 740,No,5G,5.1,WiFi 6,Type-C,67,No
116,Samsung,Galaxy S23,6.51,30679,2020,Android,5843,8,128,12,32,90,234,7.5,Plastic,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.2,WiFi 5,Type-C,18,No
117,Oppo,Oppo Reno 9,7.01,13152,2015,Android,5810,12,128,48,32,144,156,8.4,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.2,WiFi 6,Type-C,33,Yes
118,Vivo,Vivo X80,7.11,37070,2021,Android,5014,6,512,48,8,60,160,8.3,Metal,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.1,WiFi 6E,Type-C,33,No
119,OnePlus,OnePlus 11,6.67,9074,2025,Android,3507,4,256,108,32,90,182,8.1,Plastic,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.0,WiFi 5,Type-C,18,Yes
120,Nokia,Nokia X30,5.49,49048,2024,Android,4235,12,256,48,8,120,197,8.6,Plastic,Apple A16,Mali-G710,Yes,4G,5.0,WiFi 6,Type-C,33,No
121,Samsung,Galaxy S22,6.38,29912,2021,Android,4658,12,512,12,8,144,221,6.9,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 6E,Type-C,120,Yes
122,Oppo,Oppo F21,5.14,7378,2017,Android,5588,8,256,64,32,90,238,7.5,Plastic,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 6E,Type-C,33,No
123,Samsung,Galaxy Note 20,6.21,33124,2017,Android,3261,4,128,12,32,120,235,7.8,Metal,Dimensity 9000,Apple GPU,Yes,4G,5.0,WiFi 5,Type-C,120,No
124,Xiaomi,Redmi Note 11,6.98,6488,2015,Android,3698,8,256,64,32,60,185,9.4,Glass,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.1,WiFi 6E,Type-C,18,Yes
125,Motorola,Moto Edge 50,5.38,46690,2017,Android,5203,6,256,64,16,90,152,7.3,Plastic,Dimensity 9000,Apple GPU,Yes,5G,5.1,WiFi 6,Type-C,67,Yes
126,Motorola,Moto G84,5.9,27062,2024,Android,5594,12,64,64,32,120,166,7.0,Plastic,Dimensity 9000,Mali-G710,Yes,4G,5.2,WiFi 5,Type-C,67,No
127,Vivo,Vivo V27,6.43,30536,2017,Android,4113,12,512,48,16,60,187,8.3,Metal,Dimensity 9000,Adreno 740,Yes,5G,5.0,WiFi 6E,Type-C,33,Yes
128,Apple,iPhone 13,5.14,92912,2023,iOS,5246,8,256,108,16,144,193,7.7,Glass,Dimensity 9000,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,120,Yes
129,Apple,iPhone 11,6.78,132191,2016,iOS,4747,8,128,64,8,60,234,6.5,Plastic,Apple A16,Apple GPU,Yes,4G,5.1,WiFi 6E,Type-C,67,Yes
130,Nokia,Nokia X30,5.64,30201,2024,Android,3240,8,256,12,16,90,233,8.0,Glass,Apple A16,Adreno 740,No,4G,5.2,WiFi 5,Type-C,18,Yes
131,Realme,Narzo 50,6.69,30499,2025,Android,3875,8,64,108,32,144,161,8.0,Metal,Dimensity 9000,Mali-G710,Yes,5G,5.1,WiFi 6,Type-C,18,No
132,Samsung,Galaxy A15,6.77,86636,2018,Android,5361,4,512,108,8,144,196,9.2,Plastic,Dimensity 9000,Adreno 740,Yes,5G,5.1,WiFi 6,Type-C,18,Yes
133,OnePlus,OnePlus 9,6.84,43409,2022,Android,3356,4,512,12,32,144,219,8.6,Glass,Dimensity 9000,Apple GPU,No,4G,5.1,WiFi 6,Type-C,33,Yes
134,Samsung,Galaxy S22,6.38,22714,2022,Android,5897,8,128,48,8,60,219,7.9,Glass,Apple A16,Adreno 740,No,5G,5.1,WiFi 6E,Type-C,120,Yes
135,OnePlus,OnePlus 10,7.19,55368,2024,Android,5358,8,256,108,8,60,193,7.7,Glass,Dimensity 9000,Mali-G710,No,5G,5.0,WiFi 5,Type-C,33,Yes
136,Oppo,Oppo Reno 8,6.75,52686,2024,Android,4383,4,256,64,16,60,240,6.7,Metal,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.0,WiFi 5,Type-C,67,Yes
137,Nokia,Nokia G22,5.11,58228,2019,Android,5626,6,256,64,16,144,211,6.9,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.0,WiFi 6E,Type-C,120,Yes
138,Realme,Realme 11 Pro,7.09,46877,2018,Android,4249,12,256,108,8,60,177,7.7,Plastic,Apple A16,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,120,Yes
139,Xiaomi,Redmi Note 13,5.06,18375,2021,Android,3977,8,512,12,16,144,192,6.7,Plastic,Apple A16,Adreno 740,No,4G,5.2,WiFi 5,Type-C,120,Yes
140,OnePlus,OnePlus 9,5.37,8105,2020,Android,4556,8,128,108,32,60,165,6.7,Metal,Apple A16,Apple GPU,Yes,5G,5.1,WiFi 6,Type-C,120,Yes
141,Samsung,Galaxy A15,7.01,71921,2016,Android,3532,12,64,64,32,60,224,6.8,Metal,Apple A16,Adreno 740,Yes,4G,5.1,WiFi 6E,Type-C,33,No
142,Motorola,Moto Edge 50,6.54,21828,2024,Android,3369,6,128,108,8,60,206,9.2,Metal,Apple A16,Adreno 740,Yes,5G,5.0,WiFi 5,Type-C,120,No
143,Google,Pixel 9,6.61,20804,2015,Android,4794,8,64,64,32,144,206,8.5,Glass,Apple A16,Adreno 740,Yes,5G,5.0,WiFi 6,Type-C,67,Yes
144,Vivo,Vivo X80,7.16,36496,2017,Android,4903,4,256,48,16,60,198,9.4,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 5,Type-C,18,No
